Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S136,Male,16,78.22292713,73,PhD,No,No,40,Fail
S009,Male,31,50.68359824,78,Masters,No,No,50,Fail
S295,Female,18,66.60732063,64,High School,No,No,50,Fail
S141,Female,12,62.21765777,62,Masters,Yes,No,50,Fail
S274,Female,34,55.03973015,71,High School,Yes,Yes,50,Fail
S071,Female,26,70.01502445,69,Bachelors,No,No,50,Fail
S015,Female,27,79.25747662,67,Masters,Yes,Yes,50,Fail
S155,Male,39,50.91212407,52,Bachelors,No,Yes,50,Fail
S187,Female,22,60.08652312,78,Masters,No,Yes,50,Fail
S372,Female,21,80.15987011,63,High School,Yes,No,50,Fail
S395,Male,12,88.69172616,80,PhD,No,Yes,44,Fail
S020,Male,36,60.25226643,80,Bachelors,No,No,90,Pass
S089,Female,15,56.43741991,58,Bachelors,Yes,Yes,50,Fail
S049,Female,17,54.55010455,91,PhD,No,No,50,Fail
S362,Male,26,59.80565498,52,High School,No,Yes,50,Fail
S322,Male,16,60.63403922,76,Bachelors,No,No,50,Fail
S251,Female,34,76.82406757,55,High School,Yes,No,50,Fail
S314,Male,32,62.41132214,60,High School,No,Yes,50,Fail
S072,Female,29,84.88337868,54,Masters,Yes,Yes,50,Fail
S178,Male,11,54.36450898,62,High School,No,Yes,39,Fail
S379,Female,16,54.34625075,87,High School,No,No,50,Fail
S164,Female,25,86.14480483,54,Masters,No,Yes,50,Fail
S008,Male,19,56.69260594,72,Bachelors,Yes,Yes,50,Fail
S012,Male,17,76.71731375,79,High School,No,No,50,Fail
S366,Male,13,78.47217589,52,Masters,No,Yes,42,Fail
S265,Male,33,91.33994139,53,PhD,No,No,50,Fail
S152,Male,14,52.78267447,77,PhD,No,Yes,50,Fail
S259,Female,12,88.59409903,77,High School,Yes,Yes,40,Fail
S429,Male,26,63.32491967,62,Bachelors,Yes,Yes,50,Fail
S482,Female,14,54.33526059,61,Bachelors,No,Yes,50,Fail
S299,Male,29,68.96528492,72,Bachelors,No,Yes,50,Fail
S090,Female,22,66.50497567,64,PhD,No,No,50,Fail
S214,Male,19,81.68792819,56,Masters,No,No,50,Fail
S344,Female,17,76.72279456,73,PhD,Yes,No,50,Fail
S086,Male,14,76.72117519,50,PhD,Yes,Yes,50,Fail
S305,Female,14,70.72522921,53,High School,Yes,No,50,Fail
S335,Female,19,67.46934995,54,PhD,No,No,50,Fail
S493,Male,32,52.57979033,81,Masters,No,No,50,Fail
S326,Female,12,77.86526844,77,Bachelors,Yes,No,50,Fail
S298,Male,23,80.39471969,60,PhD,No,Yes,50,Fail
S189,Male,25,54.39340556,52,Bachelors,Yes,Yes,50,Fail
S330,Female,20,64.97979559,65,Bachelors,Yes,No,50,Fail
